Year,Duration,Rating,Votes,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_Unknown,Genre_War,Genre_Western,Director_Avg_Rating,Actor 1_Avg_Rating,Actor 2_Avg_Rating,Actor 3_Avg_Rating,Num_Genres,Decade_1940s,Decade_1950s,Decade_1960s,Decade_1970s,Decade_1980s,Decade_1990s,Decade_2000s,Decade_2010s
2015,72.0,7.7,10.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,6.7504,6.6235,6.521232876712329,2,False,False,False,False,False,False,False,True
2005,150.0,6.8,179.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.8,4.75,6.8,6.8,2,False,False,False,False,False,False,True,False
2010,103.0,4.5,202.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.6,5.356,4.233333333333333,4.1,3,False,False,False,False,False,False,True,False
2016,151.0,3.0,35.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.133333333333334,3.4499999999999997,4.1499999999999995,3.0,3,False,False,False,False,False,False,False,True
2020,109.0,6.3,181.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.3999999999999995,6.3,6.3,6.3,2,False,False,False,False,False,False,False,True
2017,145.0,6.2,35.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,6.56,5.433333333333334,5.033333333333333,2,False,False,False,False,False,False,False,True
2019,95.0,8.0,33.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.0,8.0,5.95,6.0,2,False,False,False,False,False,False,False,True
2013,127.0,7.3,17.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,7.3,7.3,7.3,1,False,False,False,False,False,False,False,True
1996,52.0,6.4,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,6.4,6.4,6.521232876712329,1,False,False,False,False,False,True,False,False
2013,140.0,6.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.333333333333333,6.0,6.0,4.85,1,False,False,False,False,False,False,False,True
2020,89.0,6.8,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,6.8,6.8,6.521232876712329,1,False,False,False,False,False,False,False,True
2016,112.0,3.1,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.05,3.1,3.1,5.6,1,False,False,False,False,False,False,False,True
2011,132.29447957614084,3.8,15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.8,3.8,4.675,1,False,False,False,False,False,False,False,True
2005,143.0,3.8,627.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.122222222222223,4.788888888888889,4.491666666666666,5.307142857142857,2,False,False,False,False,False,False,True,False
2017,90.0,6.9,337.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,6.9,6.9,6.521232876712329,1,False,False,False,False,False,False,False,True
2019,104.0,7.9,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.300000000000001,7.9,5.0600000000000005,7.300000000000001,1,False,False,False,False,False,False,False,True
2002,132.29447957614084,6.9,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1375,6.7504,6.6235,6.521232876712329,1,False,False,False,False,False,False,True,False
2008,104.0,8.1,35.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.459999999999999,5.45,6.348,6.175,3,False,False,False,False,False,False,True,False
1999,177.0,5.5,35.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.5,6.376271186440678,6.066666666666666,6.044444444444444,3,False,False,False,False,False,True,False,False
2018,121.0,8.0,249.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,8.0,8.0,5.733333333333333,1,False,False,False,False,False,False,False,True
2009,117.0,5.0,866.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0,4.779999999999999,4.491666666666666,5.0,3,False,False,False,False,False,False,True,False
1973,148.0,7.2,348.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.463636363636363,6.264772727272727,6.923076923076923,6.007317073170732,3,False,False,False,True,False,False,False,False
1994,158.0,4.4,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.9000000000000004,5.050000000000001,5.1000000000000005,5.336111111111111,2,False,False,False,False,False,True,False,False
2017,123.0,2.7,339.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,4.78,2.7,2.7,1,False,False,False,False,False,False,False,True
2016,120.0,6.8,16.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,6.8,6.8,6.8,1,False,False,False,False,False,False,False,True
1999,132.29447957614084,4.9,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4655172413793105,5.303846153846154,4.9972972972972975,3.9000000000000004,1,False,False,False,False,False,True,False,False
